Mes;Nom mes;Any;Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra la llibertat;Amenaces;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra la llibertat;Coaccions;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
3;març;2021; Camp de Tarragona;RP05;Alt Camp - CB;Dels delictes contra la seguretat col·lectiva;Incendi;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Falsedats documentals;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Usurpació de funcions públiques i intrusisme;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;De les lesions;Lesions;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Amenaces;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Coaccions;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra els recursos naturals i el medi ambient;;;;;;;;
1;gener;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De l’homicidi i les seves formes;Homicidi consumat;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Falsedats documentals;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Falsificació de moneda i efectes timbrats;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Usurpació de funcions públiques i intrusisme;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De les lesions;Lesions;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Amenaces;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat;Coaccions;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració de justícia;Trencament de condemna;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'Administració pública;Malversació;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra les relacions familiars;Contra els drets i deures familiars;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;De la usurpació de l'estat civil;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Falsedats documentals;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;De les falsedats;Usurpació de funcions públiques i intrusisme;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;De les lesions;Lesions;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
3;març;2021; Girona;RP01;Alt Empordà-Figueres;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
